2026-02-18 21:35:10,522 INFO    MainThread:3245664 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-02-18 21:35:10,523 INFO    MainThread:3245664 [wandb_setup.py:_flush():81] Configure stats pid to 3245664
2026-02-18 21:35:10,523 INFO    MainThread:3245664 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-02-18 21:35:10,523 INFO    MainThread:3245664 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /u/fvc9ch/nlp_research/VLLM-math-generation/wandb/run-20260218_213510-duw7g6c7/logs/debug.log
2026-02-18 21:35:10,523 INFO    MainThread:3245664 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /u/fvc9ch/nlp_research/VLLM-math-generation/wandb/run-20260218_213510-duw7g6c7/logs/debug-internal.log
2026-02-18 21:35:10,523 INFO    MainThread:3245664 [wandb_init.py:init():844] calling init triggers
2026-02-18 21:35:10,523 INFO    MainThread:3245664 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'optim': {'_target_': 'verl.workers.config.FSDPOptimizerConfig', 'optimizer': 'AdamW', 'optimizer_impl': 'torch.optim', 'lr': 1e-05, 'lr_warmup_steps_ratio': 0.1, 'total_training_steps': -1, 'weight_decay': 0.01, 'lr_warmup_steps': -1, 'betas': [0.9, 0.95], 'clip_grad': 1.0, 'min_lr_ratio': 0.0, 'num_cycles': 0.5, 'lr_scheduler_type': 'constant', 'warmup_style': None, 'override_optimizer_config': None, 'lr_scheduler': 'cosine'}, 'data': {'train_batch_size': 256, 'micro_batch_size': None, 'micro_batch_size_per_gpu': 2, 'train_files': './data/sft/train.parquet', 'val_files': './data/sft/val.parquet', 'train_max_samples': -1, 'val_max_samples': -1, 'prompt_key': 'prompt', 'response_key': 'generated_solution', 'prompt_dict_keys': None, 'response_dict_keys': None, 'multiturn': {'enable': False, 'messages_key': 'messages', 'tools_key': 'tools', 'enable_thinking_key': 'enable_thinking'}, 'max_length': 16384, 'truncation': 'error', 'balance_dp_token': False, 'chat_template': None, 'custom_cls': {'path': None, 'name': None}, 'use_shm': False, 'apply_chat_template_kwargs': {}}, 'model': {'partial_pretrain': './Qwen2.5-Math-1.5B', 'use_shm': False, 'fsdp_config': {'model_dtype': 'bf16', 'wrap_policy': {'min_num_params': 0}, 'cpu_offload': False, 'offload_params': False}, 'external_lib': None, 'enable_gradient_checkpointing': True, 'trust_remote_code': False, 'lora_rank': 0, 'lora_alpha': 16, 'target_modules': 'all-linear', 'use_liger': True, 'attn_implementation': 'flash_attention_2', 'strategy': 'fsdp2'}, 'ulysses_sequence_parallel_size': 1, 'use_remove_padding': True, 'trainer': {'default_local_dir': './checkpoints/sft_qwen2.5_math_1.5b', 'default_hdfs_dir': None, 'project_name': 'math-sft', 'experiment_name': 'math-sft-20260218_213500', 'total_epochs': 3, 'total_training_steps': None, 'logger': ['console', 'wandb'], 'seed': 1, 'save_freq': 14, 'test_freq': -1, 'nnodes': 1, 'n_gpus_per_node': 8, 'max_ckpt_to_keep': None, 'resume_mode': 'disable', 'resume_from_path': None, 'checkpoint': {'save_contents': ['model', 'hf_model'], 'load_contents': ['model', 'hf_model']}, 'device': 'cuda'}, '_wandb': {}}
2026-02-18 21:35:10,523 INFO    MainThread:3245664 [wandb_init.py:init():892] starting backend
2026-02-18 21:35:10,866 INFO    MainThread:3245664 [wandb_init.py:init():895] sending inform_init request
2026-02-18 21:35:10,877 INFO    MainThread:3245664 [wandb_init.py:init():903] backend started and connected
2026-02-18 21:35:10,878 INFO    MainThread:3245664 [wandb_init.py:init():973] updated telemetry
2026-02-18 21:35:10,894 INFO    MainThread:3245664 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-02-18 21:35:11,344 INFO    MainThread:3245664 [wandb_init.py:init():1042] starting run threads in backend
2026-02-18 21:35:11,526 INFO    MainThread:3245664 [wandb_run.py:_console_start():2524] atexit reg
2026-02-18 21:35:11,526 INFO    MainThread:3245664 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-02-18 21:35:11,526 INFO    MainThread:3245664 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-02-18 21:35:11,526 INFO    MainThread:3245664 [wandb_run.py:_redirect():2465] Redirects installed.
2026-02-18 21:35:11,529 INFO    MainThread:3245664 [wandb_init.py:init():1082] run started, returning control to user process
2026-02-18 21:35:11,926 INFO    wandb-AsyncioManager-main:3245664 [service_client.py:_forward_responses():134] Reached EOF.
2026-02-18 21:35:11,926 INFO    wandb-AsyncioManager-main:3245664 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
